,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count
,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank,random_r,random_r1,sr1o,sro,zmscore,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,
111.0,5.416314999999999,2.6727475,2.56862,4.4858,1066.85,336.325,1347.5,10,10,10,10,10,10,10
112.0,5.417047500000001,2.6669075,2.5520199999999997,4.486829999999999,1068.85,337.275,1350.4,10,10,10,10,10,10,10
113.0,5.41779,2.661095,2.5354599999999996,4.487909999999999,1070.35,338.6,1352.6,10,10,10,10,10,10,10
114.0,5.4185425,2.6553150000000003,2.5189799999999996,4.489089999999999,1071.45,339.675,1354.5,10,10,10,10,10,10,10
115.0,5.419325000000001,2.6495549999999994,2.50255,4.490259999999999,1072.95,340.75,1357.1,10,10,10,10,10,10,10
116.0,5.420107499999999,2.6438125,2.48623,4.491539999999999,1074.95,341.725,1358.9,10,10,10,10,10,10,10
117.0,5.4209,2.638105,2.46999,4.49283,1077.15,342.9,1361.6,10,10,10,10,10,10,10
118.0,5.42171,2.6324175,2.4538100000000003,4.49423,1079.05,343.875,1363.8,10,10,10,10,10,10,10
119.0,5.422537500000001,2.626755,2.4377,4.49563,1081.25,344.75,1366.9,10,10,10,10,10,10,10
120.0,5.4233725,2.6211299999999995,2.4216699999999998,4.49713,1082.65,345.675,1369.7,10,10,10,10,10,10,10
121.0,5.424215000000001,2.6155224999999995,2.40574,4.498650000000001,1084.05,346.15,1371.6,10,10,10,10,10,10,10
122.0,5.4250799999999995,2.6099249999999996,2.3898800000000002,4.50024,1085.85,346.65,1373.8,10,10,10,10,10,10,10
123.0,5.4259450000000005,2.604355,2.3740999999999994,4.50187,1087.05,347.475,1376.2,10,10,10,10,10,10,10
124.0,5.42684,2.5988350000000002,2.358390000000001,4.50357,1089.05,348.275,1377.7,10,10,10,10,10,10,10
125.0,5.427735,2.5933,2.3427700000000002,4.50532,1091.15,349.075,1379.7,10,10,10,10,10,10,10
126.0,5.428637500000001,2.5878050000000004,2.32723,4.507109999999999,1092.85,349.6,1381.1,10,10,10,10,10,10,10
127.0,5.4295675,2.5823349999999996,2.3117700000000005,4.508940000000001,1093.95,350.0,1382.2,10,10,10,10,10,10,10
128.0,5.430505,2.5768824999999995,2.29641,4.510859999999999,1094.95,350.3,1383.9,10,10,10,10,10,10,10
129.0,5.4314575000000005,2.57145,2.2811200000000005,4.512790000000001,1097.45,350.95,1385.6,10,10,10,10,10,10,10
130.0,5.4324125,2.5660499999999997,2.2659,4.514779999999999,1098.55,351.675,1387.5,10,10,10,10,10,10,10
131.0,5.433385,2.5606725,2.25078,4.51682,1100.65,352.1875,1389.1,10,10,10,10,10,10,10
132.0,5.434380000000001,2.555305,2.23574,4.51894,1102.05,352.725,1390.1,10,10,10,10,10,10,10
133.0,5.435382499999999,2.549975,2.22079,4.52107,1103.95,352.925,1391.7,10,10,10,10,10,10,10
134.0,5.436400000000001,2.5446475,2.2058899999999997,4.52327,1105.85,353.175,1393.3,10,10,10,10,10,10,10
135.0,5.43742,2.5393499999999998,2.1911,4.52551,1106.75,353.4,1394.6,10,10,10,10,10,10,10
136.0,5.4384500000000005,2.53407,2.17641,4.5278,1107.95,353.775,1395.6,10,10,10,10,10,10,10
137.0,5.4394975,2.5288125,2.16178,4.530120000000001,1109.25,353.6625,1396.45,10,10,10,10,10,10,10
138.0,5.440564999999999,2.523565,2.14725,4.53253,1110.95,353.675,1397.6,10,10,10,10,10,10,10
139.0,5.4416425,2.5183500000000003,2.13281,4.5349699999999995,1112.25,353.5875,1398.6,10,10,10,10,10,10,10
